origin,avg_arr_delay,n
ASE,22.21389751552795,2576
EGE,12.1224,1250
EYW,10.960298507462687,3350
JAC,10.49283305227656,2372
SFB,10.469024503005086,4326
PGD,10.389338235294117,2720
IDA,10.3342175066313,1508
MCO,9.878133715962404,62027
SJU,9.851269554280323,12721
PIA,8.792623941958887,1654
FLL,8.739902284296422,39093
MIA,8.700904424346126,40910
EWR,8.666154936230514,50808
PBI,8.552107893992266,10603
SRQ,8.401336073997944,5838
