dest,avg_arr_delay,n
PGD,20.367438386855863,2678
SFB,17.193077466446905,4247
ASE,17.05145413870246,2682
AZA,14.89127972819932,2649
PIE,12.196978335233752,3508
CAK,11.645627876397107,1521
SJU,11.453481981628327,12737
EWR,10.606487341772151,50560
HPN,10.177554438860971,4179
MFE,10.097826086956522,1840
ISP,9.795353435491844,2023
BFL,9.649602824360105,1133
FNT,9.368256450351838,1279
MGM,8.896955503512881,1281
COS,8.518204385601987,4834
