day_of_week,avg_arr_delay,n
Sun,5.2914637599094,423840
Mon,4.717600664176007,433620
Thu,5.563596111538186,433179
Sat,3.6696120591611785,373691
Wed,2.632201019423626,410428
Tue,1.6930074690925596,405404
Fri,5.947103588229868,433640
